,start_lat,start_lng,end_lat,end_lng
344,40.77986811666667,-74.00098978333334,40.71939226,-74.00247214
346,40.72612856666667,-74.03436933333333,40.73972989238724,-73.99103969335556
942,40.72612856666667,-74.03436933333333,,
3828,40.72612856666667,-74.03436933333333,40.732647,-73.99011
6723,40.72612856666667,-74.03436933333333,40.735238,-74.000271
6781,40.707376266666664,-74.05935028333333,40.7969347,-73.9643412291
7060,40.72612856666667,-74.03436933333333,40.735918,-74.000939
8653,40.735283966666664,-74.02741491666667,40.64621,-73.93067
9747,40.737762451,-74.067040205,,
10314,40.72612856666667,-74.03436933333333,40.73781509,-73.99994661
11596,40.742513776,-74.051948309,,
11604,40.754281521,-74.026232839,,
11607,40.725298643,-74.045508146,,
11608,40.745392203,-74.033393264,,
19681,40.707376266666664,-74.05935028333333,40.7597108,-73.97402311
20339,40.762106333333335,-74.05108253333333,40.74069317733043,-73.98160636425018
20507,40.743179202,-74.026911855,,
20531,40.706731081,-74.086697221,,
21561,40.735283966666664,-74.02741491666667,40.64507,-73.9488
22575,40.74313993965626,-74.04004096984863,,
23623,40.735283966666664,-74.02741491666667,40.75640548,-73.9900262
25244,40.7154368,-74.04967986666666,40.7459849,-73.98629487
26141,40.72612856666667,-74.03436933333333,40.72854745023944,-73.98175925016403
26465,40.72612856666667,-74.03436933333333,40.739323,-74.008119
27156,40.72612856666667,-74.03436933333333,40.74275179648995,-73.9847157150507
27828,40.72612856666667,-74.03436933333333,40.692418292578466,-73.98949474096298
34069,40.72612856666667,-74.03436933333333,40.741723510974715,-73.97809267044067
39350,40.72612856666667,-74.03436933333333,,
39964,40.77986811666667,-74.00098978333334,40.70960089363537,-74.00655090808868
40617,40.727642298,-74.07112062,,
40643,40.731122971,-74.057527065,,
40694,40.72612856666667,-74.03436933333333,40.7652654,-73.98192338
40695,40.714356184,-74.066748738,,
40721,40.750209689,-74.035888314,,
41273,40.736394048,-74.029051423,,
41301,40.71837306,-74.047811389,,
41331,40.722072482,-74.071271896,40.71911552,-74.00666661
41368,40.734787941,-74.050424576,,
41442,40.7141454,-74.0335519,,
42039,40.72612856666667,-74.03436933333333,40.6704922,-73.98541675
43834,40.72612856666667,-74.03436933333333,40.77003010255044,-73.9819684624672
43837,40.709167242,-74.08067131,,
43889,40.72612856666667,-74.03436933333333,40.735367055605394,-73.98797392845154
45700,40.72612856666667,-74.03436933333333,40.66591,-73.92602
46907,40.72612856666667,-74.03436933333333,40.677027,-73.9865
49006,40.72612856666667,-74.03436933333333,40.71036129922581,-73.96530389785767
52272,40.735283966666664,-74.02741491666667,40.74173969,-73.99415556
52445,40.7241765,-74.0506564,,
52604,40.754088163,-74.031532764,,
53535,40.72612856666667,-74.03436933333333,40.71450451,-74.00562789
53612,40.751889392240685,-74.03329162748534,40.75929124,-73.98859651
53808,40.72612856666667,-74.03436933333333,40.72066442,-73.98517977
54140,40.721145868,-74.03802526,,
54141,40.728719473,-74.03207016,,
54753,40.74790720968899,-74.03841152787209,,
54784,40.719407201,-74.034241676,,
54874,40.727270007,-74.033669472,40.727595966,-74.044247311
55326,40.72152515,-74.046304543,,
55386,40.72612856666667,-74.03436933333333,40.693261,-73.968896
55599,40.73593758446329,-74.03030455112457,,
55629,40.7112423,-74.0557013,,
55661,40.73100888698729,-74.06443700194359,,
55682,40.740787266666665,-74.02744363333333,,
55877,40.723547459,-74.064298749,,
55929,40.73698221818716,-74.02778059244156,,
55931,40.71835519823214,-74.03891444206238,,
55933,40.740802,-74.042521,,
56014,40.7177325,-74.043845,,
56023,40.7246050998869,-74.07840594649315,,
56564,40.727453947,-74.044276357,,
56569,40.752654791,-74.024085999,,
56571,40.7408139,-74.0274062,,
56572,40.75007391,-74.027399659,,
56584,40.72333158646436,-74.04595255851744,,
56625,40.725724101,-74.071979523,,
56725,40.71928220070702,-74.07126188278198,,
56730,40.739722252,-74.036801457,,
56731,40.725493431,-74.067621827,40.7311689,-74.0575736
56809,40.71942,-74.05099,,
56810,40.721614003,-74.04996109,,
56812,40.716683149,-74.042208195,40.7112423,-74.0557013
56905,40.71346382669195,-74.06285852193832,,
56939,40.737014413,-74.028901935,,
56959,40.735069036,-74.059548259,,
57005,40.72568548362901,-74.04879033565521,,
57015,40.7422579775645,-74.03511106967926,,
57020,40.72601172964625,-74.05038893222809,,
